protocol,method,instance,seed,feasible,rep_violation,pair_violation,violation,evaluations,seconds,blocks_json
equal_evaluations,QIMA,"(7,7,3,3,1)",0,1,0,0,0,916,0.40793014600001243,"[[0, 1, 2], [0, 3, 5], [0, 4, 6], [1, 3, 4], [1, 5, 6], [2, 3, 6], [2, 4, 5]]"
equal_evaluations,GA,"(7,7,3,3,1)",0,1,0,0,0,160,0.04475623700000142,"[[0, 1, 5], [0, 2, 6], [0, 3, 4], [1, 2, 4], [1, 3, 6], [2, 3, 5], [4, 5, 6]]"
equal_evaluations,SA,"(7,7,3,3,1)",0,1,0,0,0,3468,0.32633610499999577,"[[0, 1, 3], [0, 2, 4], [0, 5, 6], [1, 2, 5], [1, 4, 6], [2, 3, 6], [3, 4, 5]]"
equal_evaluations,QIMA,"(7,7,3,3,1)",1,1,0,0,0,1672,0.7131805349999922,"[[0, 1, 3], [0, 2, 5], [0, 4, 6], [1, 2, 4], [1, 5, 6], [2, 3, 6], [3, 4, 5]]"
equal_evaluations,GA,"(7,7,3,3,1)",1,1,0,0,0,120,0.035128065999970204,"[[0, 1, 6], [0, 2, 5], [0, 3, 4], [1, 2, 4], [1, 3, 5], [2, 3, 6], [4, 5, 6]]"
equal_evaluations,SA,"(7,7,3,3,1)",1,1,0,0,0,2082,0.2064724509999678,"[[0, 1, 4], [0, 2, 3], [0, 5, 6], [1, 2, 6], [1, 3, 5], [2, 4, 5], [3, 4, 6]]"
equal_evaluations,QIMA,"(7,7,3,3,1)",2,1,0,0,0,482,0.23049978400001692,"[[0, 1, 5], [0, 2, 3], [0, 4, 6], [1, 2, 6], [1, 3, 4], [2, 4, 5], [3, 5, 6]]"
equal_evaluations,GA,"(7,7,3,3,1)",2,1,0,0,0,440,0.11281959899997673,"[[0, 1, 3], [0, 2, 5], [0, 4, 6], [1, 2, 6], [1, 4, 5], [2, 3, 4], [3, 5, 6]]"
equal_evaluations,SA,"(7,7,3,3,1)",2,1,0,0,0,731,0.07730480399993667,"[[0, 1, 2], [0, 3, 4], [0, 5, 6], [1, 3, 6], [1, 4, 5], [2, 3, 5], [2, 4, 6]]"
equal_evaluations,QIMA,"(7,7,3,3,1)",3,1,0,0,0,25,0.01895436300003439,"[[0, 1, 6], [0, 2, 5], [0, 3, 4], [1, 2, 4], [1, 3, 5], [2, 3, 6], [4, 5, 6]]"
equal_evaluations,GA,"(7,7,3,3,1)",3,1,0,0,0,80,0.02500717199995961,"[[0, 1, 5], [0, 2, 6], [0, 3, 4], [1, 2, 4], [1, 3, 6], [2, 3, 5], [4, 5, 6]]"
equal_evaluations,SA,"(7,7,3,3,1)",3,1,0,0,0,7003,0.6782708759999423,"[[0, 1, 5], [0, 2, 4], [0, 3, 6], [1, 2, 3], [1, 4, 6], [2, 5, 6], [3, 4, 5]]"
equal_evaluations,QIMA,"(7,7,3,3,1)",4,1,0,0,0,916,0.3850236019999329,"[[0, 1, 4], [0, 2, 6], [0, 3, 5], [1, 2, 5], [1, 3, 6], [2, 3, 4], [4, 5, 6]]"
equal_evaluations,GA,"(7,7,3,3,1)",4,1,0,0,0,240,0.059285606999992524,"[[0, 1, 3], [0, 2, 4], [0, 5, 6], [1, 2, 6], [1, 4, 5], [2, 3, 5], [3, 4, 6]]"
equal_evaluations,SA,"(7,7,3,3,1)",4,1,0,0,0,6379,0.6028097490000164,"[[0, 1, 3], [0, 2, 4], [0, 5, 6], [1, 2, 6], [1, 4, 5], [2, 3, 5], [3, 4, 6]]"
equal_evaluations,QIMA,"(7,7,3,3,1)",5,1,0,0,0,169,0.05329823500005659,"[[0, 1, 3], [0, 2, 4], [0, 5, 6], [1, 2, 6], [1, 4, 5], [2, 3, 5], [3, 4, 6]]"
equal_evaluations,GA,"(7,7,3,3,1)",5,1,0,0,0,120,0.03263028700007453,"[[0, 1, 6], [0, 2, 5], [0, 3, 4], [1, 2, 3], [1, 4, 5], [2, 4, 6], [3, 5, 6]]"
equal_evaluations,SA,"(7,7,3,3,1)",5,1,0,0,0,6627,0.6216216210000312,"[[0, 1, 6], [0, 2, 5], [0, 3, 4], [1, 2, 3], [1, 4, 5], [2, 4, 6], [3, 5, 6]]"
equal_evaluations,QIMA,"(7,7,3,3,1)",6,1,0,0,0,25,0.01681238600008328,"[[0, 1, 2], [0, 3, 6], [0, 4, 5], [1, 3, 4], [1, 5, 6], [2, 3, 5], [2, 4, 6]]"
equal_evaluations,GA,"(7,7,3,3,1)",6,1,0,0,0,120,0.031212484000093355,"[[0, 1, 4], [0, 2, 5], [0, 3, 6], [1, 2, 6], [1, 3, 5], [2, 3, 4], [4, 5, 6]]"
equal_evaluations,SA,"(7,7,3,3,1)",6,1,0,0,0,78,0.0075215670000261525,"[[0, 1, 5], [0, 2, 4], [0, 3, 6], [1, 2, 3], [1, 4, 6], [2, 5, 6], [3, 4, 5]]"
equal_evaluations,QIMA,"(7,7,3,3,1)",7,1,0,0,0,169,0.05024653500004206,"[[0, 1, 6], [0, 2, 3], [0, 4, 5], [1, 2, 4], [1, 3, 5], [2, 5, 6], [3, 4, 6]]"
equal_evaluations,GA,"(7,7,3,3,1)",7,1,0,0,0,160,0.04077248999999483,"[[0, 1, 5], [0, 2, 3], [0, 4, 6], [1, 2, 6], [1, 3, 4], [2, 4, 5], [3, 5, 6]]"
equal_evaluations,SA,"(7,7,3,3,1)",7,1,0,0,0,4494,0.41435129399997095,"[[0, 1, 6], [0, 2, 5], [0, 3, 4], [1, 2, 4], [1, 3, 5], [2, 3, 6], [4, 5, 6]]"
equal_evaluations,QIMA,"(7,7,3,3,1)",8,1,0,0,0,410,0.15342396500000177,"[[0, 1, 2], [0, 3, 5], [0, 4, 6], [1, 3, 6], [1, 4, 5], [2, 3, 4], [2, 5, 6]]"
equal_evaluations,GA,"(7,7,3,3,1)",8,1,0,0,0,160,0.04030312600002617,"[[0, 1, 4], [0, 2, 6], [0, 3, 5], [1, 2, 5], [1, 3, 6], [2, 3, 4], [4, 5, 6]]"
equal_evaluations,SA,"(7,7,3,3,1)",8,1,0,0,0,379,0.03667123399998218,"[[0, 1, 6], [0, 2, 3], [0, 4, 5], [1, 2, 5], [1, 3, 4], [2, 4, 6], [3, 5, 6]]"
equal_evaluations,QIMA,"(7,7,3,3,1)",9,1,0,0,0,241,0.09998035199998867,"[[0, 1, 2], [0, 3, 5], [0, 4, 6], [1, 3, 4], [1, 5, 6], [2, 3, 6], [2, 4, 5]]"
equal_evaluations,GA,"(7,7,3,3,1)",9,1,0,0,0,80,0.022169938000047296,"[[0, 1, 2], [0, 3, 4], [0, 5, 6], [1, 3, 6], [1, 4, 5], [2, 3, 5], [2, 4, 6]]"
equal_evaluations,SA,"(7,7,3,3,1)",9,1,0,0,0,4080,0.3966416460000346,"[[0, 1, 6], [0, 2, 3], [0, 4, 5], [1, 2, 5], [1, 3, 4], [2, 4, 6], [3, 5, 6]]"
equal_evaluations,QIMA,"(6,10,5,3,2)",0,1,0,0,0,25,0.023555537999982334,"[[0, 1, 2], [0, 1, 3], [0, 2, 4], [0, 3, 5], [0, 4, 5], [1, 2, 5], [1, 3, 4], [1, 4, 5], [2, 3, 4], [2, 3, 5]]"
equal_evaluations,GA,"(6,10,5,3,2)",0,1,0,0,0,80,0.03080980900006125,"[[0, 1, 4], [0, 1, 5], [0, 2, 3], [0, 2, 4], [0, 3, 5], [1, 2, 3], [1, 2, 5], [1, 3, 4], [2, 4, 5], [3, 4, 5]]"
equal_evaluations,SA,"(6,10,5,3,2)",0,1,0,0,0,1970,0.20699653900010162,"[[0, 1, 2], [0, 1, 4], [0, 2, 5], [0, 3, 4], [0, 3, 5], [1, 2, 3], [1, 3, 5], [1, 4, 5], [2, 3, 4], [2, 4, 5]]"
equal_evaluations,QIMA,"(6,10,5,3,2)",1,1,0,0,0,675,0.3785814279999613,"[[0, 1, 2], [0, 1, 5], [0, 2, 3], [0, 3, 4], [0, 4, 5], [1, 2, 4], [1, 3, 4], [1, 3, 5], [2, 3, 5], [2, 4, 5]]"
equal_evaluations,GA,"(6,10,5,3,2)",1,1,0,0,0,80,0.0308157020000408,"[[0, 1, 2], [0, 1, 5], [0, 2, 3], [0, 3, 4], [0, 4, 5], [1, 2, 4], [1, 3, 4], [1, 3, 5], [2, 3, 5], [2, 4, 5]]"
equal_evaluations,SA,"(6,10,5,3,2)",1,1,0,0,0,2470,0.2612278489999653,"[[0, 1, 3], [0, 1, 4], [0, 2, 4], [0, 2, 5], [0, 3, 5], [1, 2, 3], [1, 2, 5], [1, 4, 5], [2, 3, 4], [3, 4, 5]]"
equal_evaluations,QIMA,"(6,10,5,3,2)",2,1,0,0,0,651,0.34309612599997763,"[[0, 1, 2], [0, 1, 5], [0, 2, 3], [0, 3, 4], [0, 4, 5], [1, 2, 4], [1, 3, 4], [1, 3, 5], [2, 3, 5], [2, 4, 5]]"
equal_evaluations,GA,"(6,10,5,3,2)",2,1,0,0,0,40,0.015590498000051412,"[[0, 1, 2], [0, 1, 4], [0, 2, 5], [0, 3, 4], [0, 3, 5], [1, 2, 3], [1, 3, 5], [1, 4, 5], [2, 3, 4], [2, 4, 5]]"
equal_evaluations,SA,"(6,10,5,3,2)",2,1,0,0,0,5034,0.5004417510000394,"[[0, 1, 3], [0, 1, 4], [0, 2, 4], [0, 2, 5], [0, 3, 5], [1, 2, 3], [1, 2, 5], [1, 4, 5], [2, 3, 4], [3, 4, 5]]"
equal_evaluations,QIMA,"(6,10,5,3,2)",3,1,0,0,0,434,0.21177473199998076,"[[0, 1, 2], [0, 1, 5], [0, 2, 3], [0, 3, 4], [0, 4, 5], [1, 2, 4], [1, 3, 4], [1, 3, 5], [2, 3, 5], [2, 4, 5]]"
equal_evaluations,GA,"(6,10,5,3,2)",3,1,0,0,0,800,0.20894464899993181,"[[0, 1, 2], [0, 1, 5], [0, 2, 3], [0, 3, 4], [0, 4, 5], [1, 2, 4], [1, 3, 4], [1, 3, 5], [2, 3, 5], [2, 4, 5]]"
equal_evaluations,SA,"(6,10,5,3,2)",3,1,0,0,0,4593,0.4824761769999668,"[[0, 1, 3], [0, 1, 5], [0, 2, 3], [0, 2, 4], [0, 4, 5], [1, 2, 4], [1, 2, 5], [1, 3, 4], [2, 3, 5], [3, 4, 5]]"
equal_evaluations,QIMA,"(6,10,5,3,2)",4,1,0,0,0,989,0.5543165420000378,"[[0, 1, 2], [0, 1, 4], [0, 2, 3], [0, 3, 5], [0, 4, 5], [1, 2, 5], [1, 3, 4], [1, 3, 5], [2, 3, 4], [2, 4, 5]]"
equal_evaluations,GA,"(6,10,5,3,2)",4,1,0,0,0,120,0.03413057900002059,"[[0, 1, 4], [0, 1, 5], [0, 2, 3], [0, 2, 4], [0, 3, 5], [1, 2, 3], [1, 2, 5], [1, 3, 4], [2, 4, 5], [3, 4, 5]]"
equal_evaluations,SA,"(6,10,5,3,2)",4,1,0,0,0,2363,0.23229764500001693,"[[0, 1, 2], [0, 1, 4], [0, 2, 3], [0, 3, 5], [0, 4, 5], [1, 2, 5], [1, 3, 4], [1, 3, 5], [2, 3, 4], [2, 4, 5]]"
equal_evaluations,QIMA,"(6,10,5,3,2)",5,1,0,0,0,217,0.1076603139999861,"[[0, 1, 2], [0, 1, 5], [0, 2, 3], [0, 3, 4], [0, 4, 5], [1, 2, 4], [1, 3, 4], [1, 3, 5], [2, 3, 5], [2, 4, 5]]"
equal_evaluations,GA,"(6,10,5,3,2)",5,1,0,0,0,120,0.035362478000024566,"[[0, 1, 3], [0, 1, 4], [0, 2, 4], [0, 2, 5], [0, 3, 5], [1, 2, 3], [1, 2, 5], [1, 4, 5], [2, 3, 4], [3, 4, 5]]"
equal_evaluations,SA,"(6,10,5,3,2)",5,1,0,0,0,579,0.05611041200006639,"[[0, 1, 4], [0, 1, 5], [0, 2, 3], [0, 2, 4], [0, 3, 5], [1, 2, 3], [1, 2, 5], [1, 3, 4], [2, 4, 5], [3, 4, 5]]"
equal_evaluations,QIMA,"(6,10,5,3,2)",6,1,0,0,0,1816,0.9441069819999939,"[[0, 1, 2], [0, 1, 4], [0, 2, 3], [0, 3, 5], [0, 4, 5], [1, 2, 5], [1, 3, 4], [1, 3, 5], [2, 3, 4], [2, 4, 5]]"
equal_evaluations,GA,"(6,10,5,3,2)",6,1,0,0,0,240,0.0637930510000615,"[[0, 1, 3], [0, 1, 4], [0, 2, 3], [0, 2, 5], [0, 4, 5], [1, 2, 4], [1, 2, 5], [1, 3, 5], [2, 3, 4], [3, 4, 5]]"
equal_evaluations,SA,"(6,10,5,3,2)",6,1,0,0,0,6589,0.6532394759999534,"[[0, 1, 2], [0, 1, 3], [0, 2, 5], [0, 3, 4], [0, 4, 5], [1, 2, 4], [1, 3, 5], [1, 4, 5], [2, 3, 4], [2, 3, 5]]"
equal_evaluations,QIMA,"(6,10,5,3,2)",7,1,0,0,0,892,0.4584406430000172,"[[0, 1, 2], [0, 1, 5], [0, 2, 3], [0, 3, 4], [0, 4, 5], [1, 2, 4], [1, 3, 4], [1, 3, 5], [2, 3, 5], [2, 4, 5]]"
equal_evaluations,GA,"(6,10,5,3,2)",7,1,0,0,0,120,0.03554720500005715,"[[0, 1, 2], [0, 1, 3], [0, 2, 5], [0, 3, 4], [0, 4, 5], [1, 2, 4], [1, 3, 5], [1, 4, 5], [2, 3, 4], [2, 3, 5]]"
equal_evaluations,SA,"(6,10,5,3,2)",7,1,0,0,0,5039,0.4976602250000042,"[[0, 1, 3], [0, 1, 4], [0, 2, 4], [0, 2, 5], [0, 3, 5], [1, 2, 3], [1, 2, 5], [1, 4, 5], [2, 3, 4], [3, 4, 5]]"
equal_evaluations,QIMA,"(6,10,5,3,2)",8,1,0,0,0,748,0.4873176059999196,"[[0, 1, 4], [0, 1, 5], [0, 2, 3], [0, 2, 4], [0, 3, 5], [1, 2, 3], [1, 2, 5], [1, 3, 4], [2, 4, 5], [3, 4, 5]]"
