protocol,instance,method,runs,successes,success_rate,wilson_low,wilson_high,median_violation,iqr_violation,median_evaluations,median_seconds,mean_seconds,mean_evaluations
equal_evaluations,"(7,7,3,3,1)",QIMA,10,10,1.0,0.722,1.0,0.0,0.0,325,0.127,0.213,502
equal_evaluations,"(7,7,3,3,1)",GA,10,10,1.0,0.722,1.0,0.0,0.0,140,0.038,0.044,168
equal_evaluations,"(7,7,3,3,1)",SA,10,10,1.0,0.722,1.0,0.0,0.0,3774,0.361,0.337,3532
equal_evaluations,"(6,10,5,3,2)",QIMA,10,10,1.0,0.722,1.0,0.0,0.0,663,0.361,0.376,692
equal_evaluations,"(6,10,5,3,2)",GA,10,10,1.0,0.722,1.0,0.0,0.0,120,0.035,0.064,224
equal_evaluations,"(6,10,5,3,2)",SA,10,10,1.0,0.722,1.0,0.0,0.0,3531,0.372,0.389,3824
equal_evaluations,"(9,12,4,3,1)",QIMA,10,4,0.4,0.168,0.687,4.0,4.0,12000,6.883,6.108,10552
equal_evaluations,"(9,12,4,3,1)",GA,10,10,1.0,0.722,1.0,0.0,0.0,2460,0.719,1.001,3304
equal_evaluations,"(9,12,4,3,1)",SA,10,1,0.1,0.018,0.404,4.0,0.0,12000,1.381,1.371,11805
equal_evaluations,"(7,14,6,3,2)",QIMA,10,8,0.8,0.49,0.943,0.0,0.0,8205,5.403,5.208,7918
equal_evaluations,"(7,14,6,3,2)",GA,10,10,1.0,0.722,1.0,0.0,0.0,1180,0.369,0.465,1488
equal_evaluations,"(7,14,6,3,2)",SA,10,7,0.7,0.397,0.892,0.0,3.0,9315,1.104,1.065,9241
equal_evaluations,"(11,11,5,5,2)",QIMA,10,0,0.0,0.0,0.278,18.0,3.0,12000,7.751,7.731,12000
equal_evaluations,"(11,11,5,5,2)",GA,10,5,0.5,0.237,0.763,4.0,8.0,11260,3.59,3.053,9396
equal_evaluations,"(11,11,5,5,2)",SA,10,0,0.0,0.0,0.278,13.0,2.0,12000,1.444,1.486,12000
equal_evaluations,"(13,13,4,4,1)",QIMA,10,0,0.0,0.0,0.278,15.0,2.0,12000,7.447,7.393,12000
equal_evaluations,"(13,13,4,4,1)",GA,10,1,0.1,0.018,0.404,8.0,4.0,12000,4.144,4.129,11924
equal_evaluations,"(13,13,4,4,1)",SA,10,2,0.2,0.057,0.51,8.0,7.0,12000,1.489,1.504,11846
equal_time,"(7,7,3,3,1)",QIMA,10,10,1.0,0.722,1.0,0.0,0.0,325,0.141,0.219,502
equal_time,"(7,7,3,3,1)",GA,10,10,1.0,0.722,1.0,0.0,0.0,140,0.041,0.047,168
equal_time,"(7,7,3,3,1)",SA,10,10,1.0,0.722,1.0,0.0,0.0,2593,0.262,0.324,3206
equal_time,"(6,10,5,3,2)",QIMA,10,10,1.0,0.722,1.0,0.0,0.0,663,0.36,0.388,692
equal_time,"(6,10,5,3,2)",GA,10,10,1.0,0.722,1.0,0.0,0.0,120,0.037,0.07,224
equal_time,"(6,10,5,3,2)",SA,10,10,1.0,0.722,1.0,0.0,0.0,3953,0.415,0.489,4478
equal_time,"(9,12,4,3,1)",QIMA,10,1,0.1,0.018,0.404,5.0,2.0,3357,2.0,1.903,3191
equal_time,"(9,12,4,3,1)",GA,10,8,0.8,0.49,0.943,0.0,0.0,2460,0.831,0.987,3087
equal_time,"(9,12,4,3,1)",SA,10,2,0.2,0.057,0.51,4.0,0.0,15987,2.0,1.921,15680
equal_time,"(7,14,6,3,2)",QIMA,10,0,0.0,0.0,0.278,4.0,0.0,2939,2.0,2.001,2934
equal_time,"(7,14,6,3,2)",GA,10,10,1.0,0.722,1.0,0.0,0.0,1180,0.371,0.471,1488
equal_time,"(7,14,6,3,2)",SA,10,8,0.8,0.49,0.943,0.0,0.0,10025,1.189,1.272,10688
equal_time,"(11,11,5,5,2)",QIMA,10,0,0.0,0.0,0.278,20.0,3.5,3078,2.0,2.001,2950
equal_time,"(11,11,5,5,2)",GA,10,2,0.2,0.057,0.51,8.0,4.0,5579,2.0,1.851,5422
equal_time,"(11,11,5,5,2)",SA,10,0,0.0,0.0,0.278,14.0,3.5,16707,2.0,2.0,16434
equal_time,"(13,13,4,4,1)",QIMA,10,0,0.0,0.0,0.278,18.0,5.5,3146,2.001,2.001,3274
equal_time,"(13,13,4,4,1)",GA,10,0,0.0,0.0,0.278,13.0,2.0,5620,2.0,2.0,5605
equal_time,"(13,13,4,4,1)",SA,10,3,0.3,0.108,0.603,10.0,13.0,15684,2.0,1.948,15491
